energy,Adipose,Air,Al,Au,Ba,Be,Bone,Ca,Cu,Er,Fe,Ga,Glass,Hf,I,Mg,Mn,Mo,Nb,Pb,Pd,Pmm,Pt,Rh,Si,Skeletal,Ti,Tiss,W,Wat,Y,Zn
0.25,1748.0,0.0,2038.0,5044.646056,14070.0,909.2,4723.0,4495.0,62100.0,9701.0,38425.12,5154.0,4660.0,17702.3,19079.1,1025.0,33180.0,25400.0,19880.0,23040.5,38584.2,2321.0,37540.0,37850.5,2306.7,2625.0,15530.0,2650.0,28400.0,2710.0,8804.0,5613.671
0.75,249.9,0.435,321.2,2011.197611,2989.0,111.6,725.8,754.9,9500.0,2493.0,7149.592,1004.0,705.0,4445.54,4486.3,160.4,6019.0,5050.0,3942.0,5913.35,7861.08,332.0,9502.0,7656.97,365.81,390.6,2665.0,393.26,7100.0,408.0,1725.0,1105.615
1.25,81.89,0.143,108.5,829.4106454,1575.0,33.26,247.7,265.1,3960.0,5503.0,2677.16,3005.0,257.0,1983.19,1932.56,696.0,2217.0,1970.0,1534.0,2678.6,3101.16,108.9,4269.0,3015.63,124.888,131.3,953.4,132.5,3170.0,138.0,665.9,3438.106
1.75,36.1,0.0636,610.0,2612.319538,812.0,13.8,112.7,124.0,1930.0,3191.0,1283.462,1482.0,335.0,4791.6,986.0,335.8,1056.0,980.0,761.9,1464.15,1550.58,48.08,2317.0,1501.61,647.74,58.7,447.6,59.36,7570.0,61.7,331.6,1690.521
2.25,19.1,0.0334,348.2,1703.629162,472.5,6.93,92.35,67.89,1080.0,2121.0,710.2348,838.4,192.0,3447.29,571.88,186.2,584.8,564.0,2228.0,1668.45,893.086,25.11,5041.0,866.218,382.12,31.92,246.1,32.436,5080.0,32.7,1162.0,948.689
2.75,11.31,0.0195,212.7,1127.699248,304.5,3.936,56.83,41.54,671.0,1387.0,439.3692,523.1,114.0,2355.87,365.806,114.5,360.8,2050.0,1637.0,2224.6,568.546,14.76,4226.0,551.004,227.874,19.01,150.7,19.504,3670.0,19.3,737.4,592.7523
3.25,7.154,0.0139,140.1,764.5141932,207.2,2.439,37.06,27.13,444.0,951.9,289.7632,347.2,74.7,1623.82,248.472,75.17,238.1,1390.0,1106.0,1759.25,1778.96,9.306,3239.0,2022.83,150.285,12.18,98.97,12.402,2550.0,12.3,500.5,393.0283
3.75,4.798,0.00939,97.16,546.4452889,148.75,1.604,25.54,18.91,311.0,688.1,202.3618,243.8,52.4,1179.266,177.973,51.68,165.9,991.0,785.0,1418.75,1478.46,6.248,2360.0,1451.97,105.549,8.537,69.01,8.6496,1850.0,8.28,354.8,276.0471
4.25,3.373,0.00663,70.17,407.5842943,110.25,1.114,48.38,121.7,226.0,513.1,146.4564,177.7,37.9,882.453,132.124,37.06,120.5,732.0,578.5,1069.17,1089.012,4.379,1774.0,1072.224,76.424,6.027,49.94,6.1162,1380.0,5.83,260.5,200.4373
4.75,2.461,0.00486,52.09,311.4592563,84.35,0.8076,36.86,93.47,170.0,395.3,110.236,134.0,28.1,680.141,415.599,27.49,90.02,557.0,439.6,828.55,830.582,3.189,1373.0,817.819,57.085,4.421,310.5,4.4732,1070.0,4.26,197.5,151.2196
5.25,1.843,0.00365,39.95,246.0210893,190.75,0.6043,28.42,72.85,131.0,311.0,85.0392,103.3,21.4,536.393,377.145,21.05,69.42,433.0,341.9,656.03,649.08,2.392,1085.0,637.874,43.804,3.329,256.5,3.3708,842.0,3.2,153.3,116.2679
5.75,1.416,0.00282,31.04,197.9112295,241.5,0.4675,22.46,57.82,104.0,250.2,66.85026,81.48,16.7,431.244,304.181,16.32,54.68,344.0,271.7,530.045,518.062,1.845,875.2,508.81,34.251,2.573,196.1,2.6076,677.0,2.46,121.6,92.0157
6.25,1.112,0.00222,24.75,162.5753501,197.4,0.3696,18.09,46.81,83.1,204.0,53.62194,65.53,13.3,352.715,246.993,12.95,43.9,278.0,219.4,434.705,419.498,1.44,716.4,412.012,27.261,2.027,155.7,2.0458,554.0,1.94,98.32,74.1832
6.75,0.8921,0.00178,20.0,135.5501948,163.45,0.2994,14.76,38.29,67.8,168.6,43.77944,53.55,10.7,292.82,203.609,10.44,284.2,228.0,180.0,360.93,344.974,1.154,594.2,338.793,22.1117,1.617,128.5,1.643,459.0,1.55,80.44,60.34518
