energy,Ac,Ag,Al,Ar,As,At,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,Er,Eu,F,Fe,Fr,Ga,Gd,Ge,H,He,Hf,Hg,Ho,I,In,Ir,K,Kr,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ne,Ni,O,Os,P,Pa,Pb,Pd,Pm,Po,Pr,Pt,Ra,Rb,Re,Rh,Rn,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Tc,Te,Th,Ti,Tl,Tm,U,V,W,Xe,Y,Yb,Zn,Zr
0.75,6215.79479,7117.19475,297.01444,0.50783,1122.08276,560.96926,8396.06938,265.70752,2964.40606,101.38673,5091.35384,745.27618,468.78175,723.26249,6135.46416,6505.81793,419.67133,8469.1729,5161.1007,1759.9529,9446.94665,2036.36429,2379.09723,1094.16541,612.56378,6945.92559,581.30145,932.69372,1716.23132,934.57007,7e-05,0.00109,4234.09476,6263.9386,2195.63078,4344.97952,5517.11661,9058.89107,335.74333,0.90878,5499.14725,11.13438,2975.96313,145.47276,5827.22509,4842.53564,0.3695,58.02799,3787.47289,7741.67535,0.62782,8530.54224,0.5885,8633.63488,329.13814,9664.43137,5682.56336,7566.81062,1416.93166,5089.87259,7252.01604,9082.10811,3038.64253,440.38133,7747.92557,7357.42898,0.51406,6812.80886,476.88976,5553.56808,1504.34512,1020.4068,341.02028,1517.26487,5777.4587,849.87664,5574.25967,1879.56444,5881.53028,5083.50315,7472.85811,2554.01081,5695.80961,2582.19696,12032.71193,3815.73428,6797.35816,4.81907,1648.71324,2011.19761,1038.01925,2619.95461
1.25,2807.58379,2768.60574,98.38062,0.16868,2908.61858,241.99379,3680.58393,79.69958,1519.88306,29.90477,2160.52325,265.33975,145.76161,250.93771,2390.59025,3242.90798,137.84932,3150.42873,1823.74833,775.28166,3822.2896,4678.83278,5512.93402,2906.7266,209.277,2533.87445,249.67671,2924.49013,3856.89069,2845.09379,2e-05,0.00029,1733.57615,2750.08169,5071.11854,1806.90337,2154.92809,3814.65272,114.44465,0.32588,2812.29074,3.12147,1223.08668,728.55507,2087.63516,1809.16857,0.12008,298.27279,1414.06808,3559.10462,0.22036,3636.32573,0.19477,3556.236,107.44121,4832.32538,2436.6462,2898.4736,3882.07583,2155.42325,3311.24906,3916.01109,1351.90022,157.32016,3168.5276,2792.0053,0.22097,2560.07794,155.25457,2188.7303,526.80705,2591.0814,112.36562,3922.30926,2265.84793,308.98375,2273.09534,4308.45446,2194.94528,2104.03117,3451.12385,894.97557,2480.78371,3981.08356,6048.18676,1341.46411,2763.68853,2.10125,603.94622,829.41065,3344.75942,969.59664
1.75,1539.65926,1378.2016,615.123,0.07815,1630.67515,136.22765,1961.21722,34.05922,775.60684,12.64019,1200.72298,1029.047,63.16734,116.341,1195.1521,1673.83091,64.00344,1501.36629,871.53049,395.78907,1863.20968,2844.96155,3094.31327,1653.97789,95.51652,1206.98978,140.36619,1434.12575,2538.30258,1396.27587,1e-05,0.00011,4640.12015,1485.38847,3055.67752,921.61486,1086.70729,2070.96102,52.76917,1.22217,1442.17184,1.27469,3289.22875,328.81703,995.90481,903.30874,0.05263,143.73578,700.58109,1949.51511,0.10114,1743.29054,0.08851,6207.73083,49.88069,2600.70698,1341.89112,1457.29151,2134.00836,1215.70838,1815.01466,2097.66589,741.86503,504.61543,8265.60114,1410.9679,0.12468,1295.43248,72.0218,1116.99308,246.52049,1441.61573,653.17445,2273.9731,1152.86839,659.19516,6055.7618,2776.78231,1107.39702,1075.3607,1872.48877,425.29893,1350.39112,3351.679,3269.1527,642.27934,7307.58846,1.0715,298.97794,2612.31954,1642.87515,480.87747
2.25,988.31541,810.3569,339.9619,0.04347,933.48351,85.83276,5107.33696,17.5624,456.88448,6.35439,754.09851,591.18166,32.91669,64.16041,703.32816,986.53139,35.69525,843.90456,489.35947,233.39273,1048.13105,1802.09342,2065.06019,992.73973,51.63443,679.24418,90.60129,814.6403,1531.65011,798.75475,1e-05,5e-05,3351.61392,3819.0035,1926.29594,546.81918,635.96927,5556.71966,29.21323,0.70364,850.62749,0.63775,2493.56231,184.46351,562.01576,527.52342,0.02753,79.64734,2225.14236,1151.73388,0.05491,978.36531,0.04691,6254.96152,328.96391,1634.98675,2392.78157,853.8937,1261.55986,761.93866,1070.21114,5535.81966,475.61433,335.73807,5626.14322,823.74974,0.0795,756.45514,439.30954,652.2997,135.62942,825.77592,363.69836,1354.70065,670.62769,605.44035,4389.57378,1682.77609,648.85519,633.41519,1186.7054,235.106,3486.19147,2216.43311,2046.91828,357.45524,4959.85426,0.63393,1145.36846,1703.62916,925.9094,1547.72771
2.75,679.5853,520.77459,211.06027,0.02711,586.82337,226.04127,3833.16492,10.24463,297.21106,3.62468,1976.41399,374.53578,19.34762,39.71513,452.14047,639.94082,232.08806,529.54619,302.16038,151.85943,655.02437,1177.96688,1360.27754,644.39971,30.96878,424.86193,130.65619,508.42091,995.81932,499.10837,0.0,3e-05,2318.31694,2841.57163,1264.31606,352.28265,410.16297,4468.96638,18.1416,0.44593,553.01774,0.36522,1653.95584,112.95137,348.74217,2037.45066,0.01623,48.37521,1618.69979,749.11595,0.0333,612.54371,0.02777,4317.72798,204.23544,1123.38433,2201.99895,549.47691,819.02251,1992.99071,694.44776,4171.97867,324.99333,213.02448,4080.89095,532.17722,0.14472,2455.06948,278.95187,421.64297,83.69886,522.21928,226.38365,879.23186,433.54461,385.3885,3013.69649,1095.49925,2122.92863,408.45533,814.38857,144.81752,2582.94423,1463.54517,1407.18761,220.02318,3622.80226,0.41042,733.47704,1127.69925,577.26896,1142.46713
3.25,1683.73839,1185.39312,137.29107,0.1785,384.87007,175.10307,2889.0614,6.38746,199.37988,2.22693,1539.13838,248.13514,12.09378,25.62934,297.42384,432.48602,155.58663,346.25528,194.61021,101.55018,431.87763,795.203,919.60778,433.15912,19.58169,276.06367,155.98153,333.61194,670.65658,327.37615,0.0,2e-05,1585.12127,2045.06144,854.46661,235.82415,270.68356,3205.646,11.72741,0.29755,373.00219,0.22568,1125.79416,73.04472,225.21198,1376.14776,0.01017,31.20769,1087.76442,504.54664,0.02142,403.31985,0.01746,3099.71524,135.35342,1775.22571,1717.6153,1785.45007,550.26245,1551.87684,468.95624,3158.90754,807.9038,142.6661,2808.1691,2000.63308,0.13663,1799.36327,185.65531,279.53237,53.90829,343.40654,149.50682,590.70589,286.31253,258.06213,2069.20203,738.92711,1650.64087,272.43164,1803.1047,93.22012,1852.29221,989.70612,962.88075,141.65815,2489.98191,0.27443,491.08418,764.51419,379.25337,766.10911
3.75,1404.30673,1357.99535,94.28916,0.12629,267.93713,123.94607,2092.32505,4.21225,141.07556,1.46665,1213.79557,172.41366,8.0554,17.50934,996.11279,305.85022,109.54176,238.36062,133.3342,71.98982,300.00777,565.61888,655.86793,308.19642,13.16902,189.37511,128.80264,232.57437,477.06701,227.99817,0.0,1e-05,1132.87149,1541.75784,608.09664,165.49392,891.30272,2315.14405,79.7997,0.20744,263.67363,0.15027,805.39755,50.0826,154.40454,971.54701,0.00678,21.35525,768.94873,359.57339,0.01445,278.70067,0.01169,2238.65135,94.74758,2034.02891,1372.21913,1461.2062,392.216,1176.12423,333.02607,2290.31485,666.90957,100.01435,2018.17615,1424.69143,0.11395,1330.41132,130.13221,195.49412,36.91396,238.83677,103.31624,420.52906,684.25788,182.28835,1476.81776,525.29536,1168.5261,190.70886,1431.87341,63.81568,1386.63373,706.73288,2581.0927,97.00739,1782.30196,0.19382,347.82493,546.44529,264.64321,542.08595
4.25,1034.53726,999.25212,67.84457,0.09271,195.24623,103.13251,1574.53108,2.92782,104.83411,1.02134,919.59514,125.36204,5.64829,122.26876,854.39404,226.48562,80.16311,171.81837,96.09881,53.1825,217.44188,421.67264,488.59716,230.45741,9.30463,136.56425,101.76793,169.78502,356.41214,166.28576,0.0,1e-05,846.50198,1163.26626,453.22453,121.01951,756.47676,1724.03869,58.94841,0.15047,195.64955,0.10636,600.86012,35.98567,111.33533,717.33036,0.00476,15.31709,568.42866,266.69287,0.01023,201.87712,0.00823,1662.82649,68.85411,1712.81804,1034.98765,1065.6644,293.32015,919.63011,246.34857,1715.73869,525.97205,72.78624,1500.81888,1051.91714,0.09429,984.27292,95.28865,656.8312,121.90966,173.92282,74.29157,314.74012,780.46675,133.0856,1105.45352,391.84746,862.64088,460.29685,1236.12345,45.96867,1045.92505,527.02277,2181.33881,69.88833,1334.06962,0.14239,255.51794,407.58429,193.13241,400.58041
4.75,862.65481,756.43943,50.31426,0.06981,147.51881,79.97554,1208.23131,2.10722,79.82395,0.73816,715.19218,94.49395,4.09424,92.95782,649.27788,173.22505,60.37923,127.98116,71.59911,40.30327,162.26558,323.12607,373.72496,176.88253,6.7871,101.77187,82.3392,128.16385,273.68737,125.74545,0.0,1e-05,646.79779,895.72849,346.99008,408.6121,580.64445,1325.23115,44.6042,0.11317,149.69054,0.07854,459.28351,26.65265,82.9742,545.3152,0.00345,11.23897,430.77756,203.51604,0.00748,150.1984,0.00598,1279.26451,51.01533,1299.30132,803.84867,806.57048,223.75292,715.09887,188.22766,1316.76447,423.53265,54.48954,1153.56471,798.30656,0.07302,747.27698,71.66815,574.49144,186.87785,131.25201,55.06217,240.7025,602.03277,99.7363,845.23738,300.56088,655.48585,547.70878,1003.10105,314.55287,809.50197,402.89832,1610.43919,52.05294,1020.99972,0.34317,191.74774,311.45926,144.78249,301.81338
5.25,698.93573,592.51049,38.63708,0.05428,114.75196,63.60282,953.61219,1.5805,190.22436,0.55705,565.5508,73.30322,3.07865,72.84487,508.57368,136.29571,46.95799,98.9025,55.35445,134.31364,125.11134,256.00578,295.71652,139.31825,5.13923,78.6816,65.37151,98.92751,216.1337,97.55632,0.0,1e-05,510.13266,706.24499,274.81968,368.9306,456.46023,1044.3269,34.71076,0.08765,280.61459,0.06078,362.49804,20.44545,64.1627,425.35117,0.0026,8.52345,334.70716,160.86699,0.00567,115.90213,0.00451,1007.01518,39.14559,1133.51041,633.04848,633.28785,176.53643,567.52069,148.66381,1038.1269,336.07935,42.25724,907.60271,625.93421,0.05807,586.25618,55.04151,455.78552,146.66979,101.97936,42.25924,189.65858,475.96874,77.31428,666.1272,237.88325,513.36055,434.30801,834.01473,243.7191,637.63401,318.53304,1342.06732,360.95176,805.01425,0.42189,148.67661,246.02109,111.36419,234.1266
5.75,566.81712,472.54921,30.18825,0.04289,91.08644,51.26638,767.18907,1.21025,221.42595,0.43006,454.91056,58.24716,2.34982,57.66148,404.88194,323.83886,36.86628,77.88404,200.64672,123.15041,98.30389,205.4484,238.25908,111.78901,3.96297,61.993,52.94338,77.9082,173.21198,77.12668,0.0,1e-05,409.54818,568.71264,221.13976,296.94906,363.43373,839.97119,27.42794,0.06951,385.29515,0.04835,291.37607,15.85647,50.56575,336.04962,0.002,6.58154,264.14284,128.99425,0.00438,91.14157,0.00347,808.93124,30.56102,922.50538,509.56383,506.20552,141.73376,456.54167,356.73449,835.54121,272.26857,33.37861,729.25911,498.84001,0.04695,465.70836,43.00874,364.98332,116.92612,81.15003,32.99865,152.36243,379.77701,61.00983,534.30945,190.63063,406.5218,349.07036,675.04534,194.22212,514.00715,256.45379,1140.54703,284.36269,645.30246,0.34049,117.30258,197.91123,87.61743,184.78871
6.25,467.35464,384.61143,24.09735,0.03451,73.45754,42.009,628.99057,0.95091,195.21606,0.34142,373.03896,47.22189,1.83868,46.5054,329.00057,357.1982,29.45404,62.73397,307.00931,101.10775,79.01426,167.96563,194.98009,91.60222,3.12731,49.95947,43.43613,62.55542,141.91131,61.97968,0.0,1e-05,335.90195,466.47651,180.7398,242.42608,294.90264,687.39018,22.10664,0.05624,361.23391,0.03966,239.22413,12.53417,40.70698,270.93707,0.00157,5.19892,213.00885,305.70101,0.00346,73.31887,0.00273,662.19496,24.37965,762.21574,417.64815,411.88603,339.06515,374.32979,388.19321,683.93372,223.94533,26.93776,597.31701,403.6513,0.03847,376.21115,34.3366,296.49764,94.50655,65.64999,26.33253,124.46357,308.1757,49.21812,437.84894,155.97243,327.82155,284.16277,556.47538,158.23771,421.19003,210.51787,944.5647,230.95997,528.34121,0.27883,94.54577,162.57535,70.4052,149.01313
