Mev,cm2/g,kerma/fluence
0.00125,1966.000,3.9374E-05
0.00175,770.250,2.1597E-05
0.00225,374.540,1.3502E-05
0.00275,208.420,9.1831E-06
0.00325,139.970,7.2884E-06
0.00375,92.298,5.5455E-06
0.00425,63.832,4.3465E-06
0.00475,45.830,3.4879E-06
0.00525,33.959,2.8565E-06
0.00575,25.819,2.3786E-06
0.00625,20.058,2.0086E-06
0.00675,15.876,1.7170E-06
0.00725,12.768,1.4831E-06
0.00775,10.412,1.2929E-06
0.00825,8.594,1.1360E-06
0.00875,7.170,1.0051E-06
0.00925,6.039,8.9493E-07
0.00975,5.130,8.0133E-07
0.01025,4.392,7.2123E-07
0.01075,3.787,6.5217E-07
0.01125,3.286,5.9228E-07
0.01175,2.868,5.4000E-07
0.01225,2.518,4.9417E-07
0.01275,2.221,4.5377E-07
0.01325,1.969,4.1800E-07
0.01375,1.753,3.8619E-07
0.01425,1.567,3.5779E-07
0.01475,1.406,3.3234E-07
0.01525,1.267,3.0945E-07
0.01575,1.144,2.8871E-07
0.01625,1.037,2.6991E-07
0.01675,0.942,2.5280E-07
0.01725,0.858,2.3724E-07
0.01775,0.784,2.2304E-07
0.01825,0.718,2.1008E-07
0.01875,0.660,1.9822E-07
0.01925,0.607,1.8734E-07
0.01975,0.561,1.7737E-07
0.02025,0.518,1.6818E-07
0.02075,0.480,1.5966E-07
0.02125,0.446,1.5172E-07
0.02175,0.414,1.4434E-07
0.02225,0.386,1.3746E-07
0.02275,0.360,1.3106E-07
0.02325,0.336,1.2509E-07
0.02375,0.314,1.1953E-07
0.02425,0.294,1.1433E-07
0.02475,0.276,1.0948E-07
0.02525,0.259,1.0495E-07
0.02575,0.244,1.0070E-07
0.02625,0.230,9.6737E-08
0.02675,0.217,9.3021E-08
0.02725,0.205,8.9542E-08
0.02775,0.194,8.6277E-08
0.02825,0.184,8.3214E-08
0.02875,0.174,8.0334E-08
0.02925,0.166,7.7631E-08
0.02975,0.158,7.5092E-08
0.03025,0.150,7.2695E-08
0.03075,0.143,7.0413E-08
0.03125,0.136,6.8239E-08
0.03175,0.130,6.6161E-08
0.03225,0.124,6.4186E-08
0.03275,0.119,6.2311E-08
0.03325,0.114,6.0524E-08
0.03375,0.109,5.8827E-08
0.03425,0.104,5.7219E-08
0.03475,0.100,5.5688E-08
0.03525,0.096,5.4239E-08
0.03575,0.092,5.2865E-08
0.03625,0.089,5.1563E-08
0.03675,0.085,5.0330E-08
0.03725,0.082,4.9162E-08
0.03775,0.079,4.8057E-08
0.03825,0.077,4.7013E-08
0.03875,0.074,4.6025E-08
0.03925,0.072,4.5093E-08
0.03975,0.069,4.4212E-08
0.04025,0.067,4.3380E-08
0.04075,0.065,4.2580E-08
0.04125,0.063,4.1809E-08
0.04175,0.061,4.1068E-08
0.04225,0.060,4.0357E-08
0.04275,0.058,3.9676E-08
0.04325,0.056,3.9024E-08
0.04375,0.055,3.8399E-08
0.04425,0.053,3.7804E-08
0.04475,0.052,3.7237E-08
0.04525,0.051,3.6696E-08
0.04575,0.049,3.6183E-08
0.04625,0.048,3.5696E-08
0.04675,0.047,3.5234E-08
0.04725,0.046,3.4798E-08
0.04775,0.045,3.4387E-08
0.04825,0.044,3.4000E-08
0.04875,0.043,3.3637E-08
