energy,Al,Cu,Mo,Rh,Ag,Ti,Sn,PC,GT
1.25,188.630,7157.100,3005.700,4840.700,4440.400,1511.800,3610.000,213.150,153.350
1.75,919.370,2695.900,1354.200,2086.900,2024.400,635.150,1670.000,73.929,56.289
2.25,457.100,1472.500,732.570,1126.500,1098.300,326.240,906.000,31.472,27.572
2.75,269.420,850.670,2217.700,687.620,668.540,190.450,551.000,16.989,16.613
3.25,171.370,545.520,1678.100,2122.400,440.790,121.260,362.000,10.418,8.944
3.75,116.130,369.650,1168.100,1708.900,1395.500,82.129,252.000,6.718,6.417
4.25,82.284,264.890,847.950,1243.300,1173.900,58.339,791.000,4.630,4.681
4.75,60.310,195.410,635.990,932.900,884.000,42.980,698.000,3.292,3.187
5.25,45.480,149.210,489.740,720.110,683.650,287.930,542.000,2.438,2.242
5.75,35.133,116.280,385.400,568.570,540.440,224.230,429.000,1.845,1.700
6.25,27.690,92.683,308.950,456.870,434.810,173.930,345.000,1.435,1.325
6.75,22.201,74.933,251.620,372.490,355.110,141.060,282.000,1.135,1.049
7.25,18.068,61.652,207.980,308.280,294.210,117.630,234.000,0.916,0.848
7.75,14.894,51.348,174.150,258.480,246.960,99.562,196.000,0.749,0.694
8.25,12.418,42.791,147.270,218.820,209.270,84.807,166.000,0.621,0.576
8.75,10.460,129.968,125.600,186.820,178.810,72.549,142.000,0.521,0.484
9.25,8.891,233.170,108.130,161.000,154.140,62.334,122.000,0.443,0.411
9.75,7.620,205.780,93.820,139.860,133.980,53.890,106.000,0.379,0.352
10.25,6.579,182.220,81.934,122.200,117.080,47.029,92.800,0.328,0.305
10.75,5.720,161.760,71.969,107.340,102.940,41.157,81.400,0.286,0.266
11.25,5.004,144.040,63.599,94.878,91.035,36.270,72.000,0.252,0.233
11.75,4.404,128.540,56.517,84.331,80.945,32.151,63.900,0.223,0.207
12.25,3.896,115.090,50.477,75.337,72.345,28.650,57.000,0.199,0.184
12.75,3.463,103.310,45.295,67.622,64.953,25.638,51.100,0.178,0.165
13.25,3.092,93.096,40.819,60.955,58.559,23.041,46.000,0.161,0.149
